Statement,Response,Did not order test kit (n=77) n/N,Ordered test kit (n=177) n/N,Percent_no,Percent_yes,P_value
I feel afraid of people living with HIV/AIDS,Strongly agree,7/77,12/177,9.1,6.8,0.6129
I feel afraid of people living with HIV/AIDS,Agree,2/77,9/177,2.6,5.1,
I feel afraid of people living with HIV/AIDS,Somewhat agree,9/77,21/177,11.7,11.9,
I feel afraid of people living with HIV/AIDS,Neither agree nor disagree,9/77,20/177,11.7,11.3,
I feel afraid of people living with HIV/AIDS,Somewhat disagree,6/77,11/177,7.8,6.2,
I feel afraid of people living with HIV/AIDS,Disagree,17/77,32/177,22.1,18.1,
I feel afraid of people living with HIV/AIDS,Strongly disagree,27/77,72/177,35.1,40.7,
I could not be friends with someone who has HIV/AIDS,Strongly agree,4/77,1/177,5.2,0.6,0.0325
I could not be friends with someone who has HIV/AIDS,Agree,0/77,1/177,0,0.6,
I could not be friends with someone who has HIV/AIDS,Somewhat agree,1/77,3/177,1.3,1.7,
I could not be friends with someone who has HIV/AIDS,Neither agree nor disagree,6/77,9/177,7.8,5.1,
I could not be friends with someone who has HIV/AIDS,Somewhat disagree,1/77,7/177,1.3,4,
I could not be friends with someone who has HIV/AIDS,Disagree,19/77,26/177,24.7,14.7,
I could not be friends with someone who has HIV/AIDS,Strongly disagree,46/77,130/177,59.7,73.4,
People who get HIV/AIDS through sex or drug use got what they deserve,Strongly agree,0/77,2/177,0,1.1,0.3319
People who get HIV/AIDS through sex or drug use got what they deserve,Agree,1/77,2/177,1.3,1.1,
People who get HIV/AIDS through sex or drug use got what they deserve,Somewhat agree,2/77,3/177,2.6,1.7,
People who get HIV/AIDS through sex or drug use got what they deserve,Neither agree nor disagree,7/77,8/177,9.1,4.5,
People who get HIV/AIDS through sex or drug use got what they deserve,Somewhat disagree,2/77,6/177,2.6,3.4,
People who get HIV/AIDS through sex or drug use got what they deserve,Disagree,12/77,24/177,15.6,13.6,
People who get HIV/AIDS through sex or drug use got what they deserve,Strongly disagree,53/77,132/177,68.8,74.6,
I feel anger toward people with HIV/AIDS,Strongly agree,0/77,1/177,0,0.6,0.2130
I feel anger toward people with HIV/AIDS,Agree,0/77,0/177,0,0,
I feel anger toward people with HIV/AIDS,Somewhat agree,0/77,0/177,0,0,
I feel anger toward people with HIV/AIDS,Neither agree nor disagree,5/77,11/177,6.5,6.2,
I feel anger toward people with HIV/AIDS,Somewhat disagree,0/77,3/177,0,1.7,
I feel anger toward people with HIV/AIDS,Disagree,16/77,19/177,20.8,10.7,
I feel anger toward people with HIV/AIDS,Strongly disagree,56/77,143/177,72.7,80.8,
