Statement,Response,Did not order test kit (n=77) n/N,Ordered test kit (n=177) n/N,Percent_no,Percent_yes,P-value
Health care organizations don’t always keep your information totally private,Strongly agree,11/76,36/175,14.5,20.6,0.371
Health care organizations don’t always keep your information totally private,Agree,29/76,64/175,38.2,36.6,
Health care organizations don’t always keep your information totally private,Disagree,23/76,47/175,30.3,26.9,
Health care organizations don’t always keep your information totally private,Strongly disagree,13/76,28/175,17.1,16,
Health care organizations have sometimes done harmful experiments on patients without their knowledge,Strongly agree,14/77,30/176,18.2,17,0.413
Health care organizations have sometimes done harmful experiments on patients without their knowledge,Agree,25/77,73/176,32.5,41.5,
Health care organizations have sometimes done harmful experiments on patients without their knowledge,Disagree,26/77,51/176,33.8,29,
Health care organizations have sometimes done harmful experiments on patients without their knowledge,Strongly disagree,12/77,22/176,15.6,12.5,
Mistakes are common in health care organizations,Strongly agree,8/75,21/176,10.7,11.9,0.638
Mistakes are common in health care organizations,Agree,36/75,89/176,48,50.6,
Mistakes are common in health care organizations,Disagree,23/75,46/176,30.7,26.1,
Mistakes are common in health care organizations,Strongly disagree,8/75,20/176,10.7,11.4,
Patients have sometimes been deceived or misled by health care organizations,Strongly agree,11/77,32/176,14.3,18.2,0.413
Patients have sometimes been deceived or misled by health care organizations,Agree,34/77,83/176,44.2,47.2,
Patients have sometimes been deceived or misled by health care organizations,Disagree,22/77,33/176,28.6,18.8,
Patients have sometimes been deceived or misled by health care organizations,Strongly disagree,10/77,28/176,13,15.9,
Sometimes I wonder if health care organizations really know what they are doing,Strongly agree,9/77,22/176,11.7,12.5,0.965
Sometimes I wonder if health care organizations really know what they are doing,Agree,28/77,66/176,36.4,37.5,
Sometimes I wonder if health care organizations really know what they are doing,Disagree,30/77,60/176,39,34.1,
Sometimes I wonder if health care organizations really know what they are doing,Strongly disagree,10/77,28/176,13,15.9,
When health care organizations make mistakes they usually cover it up,Strongly agree,10/76,29/174,13.2,16.7,0.222
When health care organizations make mistakes they usually cover it up,Agree,29/76,83/174,38.2,47.7,
When health care organizations make mistakes they usually cover it up,Disagree,30/76,36/174,39.5,20.7,
When health care organizations make mistakes they usually cover it up,Strongly disagree,7/76,26/174,9.2,14.9,
You'd better be cautious when dealing with healthcare organizations,Strongly agree,17/76,37/177,22.4,20.9,0.503
You'd better be cautious when dealing with healthcare organizations,Agree,32/76,66/177,42.1,37.3,
You'd better be cautious when dealing with healthcare organizations,Disagree,14/76,42/177,18.4,23.7,
You'd better be cautious when dealing with healthcare organizations,Strongly disagree,13/76,32/177,17.1,18.1,
